,open,high,low,close,volume,Ticker,Date
280107,162.27,162.27,162.27,162.27,373,AAPL,2023-04-11 05:30:00
280108,162.3,162.3,162.3,162.3,146,AAPL,2023-04-11 05:35:00
280109,162.4,162.5,162.4,162.42,4047,AAPL,2023-04-11 05:45:00
280110,162.43,162.44,162.4,162.4,1617,AAPL,2023-04-11 05:55:00
280111,162.5,162.52,162.5,162.52,1111,AAPL,2023-04-11 06:00:00
280112,162.71,162.74,162.71,162.74,1522,AAPL,2023-04-11 06:05:00
280115,162.65,162.65,162.55,162.55,2389,AAPL,2023-04-11 06:25:00
280116,162.62,162.62,162.55,162.55,4468,AAPL,2023-04-11 06:30:00
280117,162.38,162.38,162.29,162.29,2917,AAPL,2023-04-11 06:40:00
280118,162.35,162.35,162.29,162.3,6247,AAPL,2023-04-11 06:45:00
280119,162.39,162.39,162.3,162.3,555,AAPL,2023-04-11 06:50:00
280120,162.2,162.2,162.18,162.18,1736,AAPL,2023-04-11 06:55:00
280121,162.23,162.23,162.22,162.22,830,AAPL,2023-04-11 07:00:00
280123,162.23,162.34,162.05,162.1,9301,AAPL,2023-04-11 07:10:00
280124,162.05,162.08,161.89,161.89,14692,AAPL,2023-04-11 07:15:00
280126,162.03,162.1,162.02,162.1,4426,AAPL,2023-04-11 07:25:00
280128,161.88,161.98,161.8,161.92,8557,AAPL,2023-04-11 07:35:00
280129,161.87,161.9,161.8,161.85,6532,AAPL,2023-04-11 07:40:00
280130,161.85,161.85,161.85,161.85,4922,AAPL,2023-04-11 07:45:00
280131,161.9,161.95,161.85,161.85,2577,AAPL,2023-04-11 07:50:00
280132,161.9,161.99,161.9,161.97,2819,AAPL,2023-04-11 07:55:00
280133,161.9,161.9,161.9,161.9,173,AAPL,2023-04-11 08:00:00
280134,162.1,162.36,161.57,161.9,51573,AAPL,2023-04-11 08:05:00
280135,161.92,161.92,161.84,161.84,10710,AAPL,2023-04-11 08:10:00
280136,161.86,161.9,161.8,161.9,6695,AAPL,2023-04-11 08:15:00
280137,161.93,161.99,161.8,161.9,12090,AAPL,2023-04-11 08:20:00
280138,161.99,162.01,161.9,161.9,9186,AAPL,2023-04-11 08:25:00
280139,161.8905,161.97,161.84,161.89,10538,AAPL,2023-04-11 08:30:00
280140,161.8,161.99,161.8,161.83,14578,AAPL,2023-04-11 08:35:00
280141,161.77,161.89,161.76,161.84,27318,AAPL,2023-04-11 08:40:00
280142,161.86,161.99,161.81,161.92,17646,AAPL,2023-04-11 08:45:00
280143,161.91,161.93,161.88,161.88,8991,AAPL,2023-04-11 08:50:00
280144,161.85,162.0,161.85,161.9,10490,AAPL,2023-04-11 08:55:00
280145,161.89,161.9663,161.8,161.8,10965,AAPL,2023-04-11 09:00:00
280146,161.8,161.84,161.74,161.75,10993,AAPL,2023-04-11 09:05:00
280147,161.76,161.9,161.72,161.9,7862,AAPL,2023-04-11 09:10:00
280148,161.93,162.0,161.9202,162.0,16747,AAPL,2023-04-11 09:15:00
280149,162.08,162.24,162.04,162.14,24758,AAPL,2023-04-11 09:20:00
280150,162.16,162.24,162.14,162.24,17610,AAPL,2023-04-11 09:25:00
280151,162.09,162.35,161.8,162.35,67028,AAPL,2023-04-11 09:30:00
280152,162.35,162.36,161.75,162.05,1844066,AAPL,2023-04-11 09:35:00
280154,161.64,161.73,161.31,161.49,959900,AAPL,2023-04-11 09:45:00
280155,161.5,161.61,161.18,161.305,952742,AAPL,2023-04-11 09:50:00
280156,161.29,161.43,161.08,161.17,849092,AAPL,2023-04-11 09:55:00
280157,161.17,161.37,161.15,161.23,739947,AAPL,2023-04-11 10:00:00
280158,161.225,161.38,161.19,161.215,621990,AAPL,2023-04-11 10:05:00
280159,161.22,161.22,160.84,160.97,1021043,AAPL,2023-04-11 10:10:00
280160,160.9616,161.0385,160.73,160.7301,669975,AAPL,2023-04-11 10:15:00
280161,160.74,160.8,160.56,160.665,706154,AAPL,2023-04-11 10:20:00
280162,160.67,160.95,160.67,160.95,1127177,AAPL,2023-04-11 10:25:00
280163,160.95,161.15,160.93,161.15,759456,AAPL,2023-04-11 10:30:00
280164,161.16,161.2,160.85,160.8532,731902,AAPL,2023-04-11 10:35:00
280165,160.86,160.915,160.73,160.75,510750,AAPL,2023-04-11 10:40:00
280166,160.75,160.85,160.591,160.61,627455,AAPL,2023-04-11 10:45:00
280167,160.62,160.9788,160.59,160.955,542422,AAPL,2023-04-11 10:50:00
280168,160.96,161.0599,160.7807,160.785,565881,AAPL,2023-04-11 10:55:00
280169,160.79,160.8301,160.62,160.73,404163,AAPL,2023-04-11 11:00:00
280170,160.735,160.82,160.63,160.7616,401956,AAPL,2023-04-11 11:05:00
280171,160.7786,160.93,160.62,160.715,607964,AAPL,2023-04-11 11:10:00
280172,160.72,160.93,160.7,160.878,407585,AAPL,2023-04-11 11:15:00
280173,160.89,161.12,160.86,161.0799,389567,AAPL,2023-04-11 11:20:00
280174,161.08,161.12,161.02,161.025,314584,AAPL,2023-04-11 11:25:00
280175,161.03,161.0481,160.87,160.9099,428901,AAPL,2023-04-11 11:30:00
280176,160.9,161.0,160.85,160.8711,344300,AAPL,2023-04-11 11:35:00
280177,160.87,160.87,160.59,160.7801,496997,AAPL,2023-04-11 11:40:00
280178,160.78,160.82,160.65,160.66,344224,AAPL,2023-04-11 11:45:00
280179,160.655,160.81,160.51,160.78,412781,AAPL,2023-04-11 11:50:00
280180,160.79,160.9,160.71,160.855,295347,AAPL,2023-04-11 11:55:00
280181,160.86,160.99,160.735,160.975,318830,AAPL,2023-04-11 12:00:00
280182,160.979,161.08,160.94,160.975,383439,AAPL,2023-04-11 12:05:00
280183,160.97,161.11,160.893,161.085,390920,AAPL,2023-04-11 12:10:00
280184,161.08,161.2301,161.08,161.165,371433,AAPL,2023-04-11 12:15:00
280185,161.1609,161.2,160.92,160.97,365779,AAPL,2023-04-11 12:20:00
280186,160.98,161.11,160.95,161.06,304046,AAPL,2023-04-11 12:25:00
280187,161.0501,161.125,160.91,161.1199,294855,AAPL,2023-04-11 12:30:00
280188,161.12,161.24,161.07,161.08,303282,AAPL,2023-04-11 12:35:00
280189,161.07,161.07,160.84,160.99,411743,AAPL,2023-04-11 12:40:00
280190,161.0,161.2,161.0,161.1888,341695,AAPL,2023-04-11 12:45:00
280191,161.185,161.34,161.155,161.31,412390,AAPL,2023-04-11 12:50:00
280192,161.305,161.52,161.27,161.49,584207,AAPL,2023-04-11 12:55:00
280193,161.4978,161.505,161.3299,161.3768,311702,AAPL,2023-04-11 13:00:00
280194,161.38,161.48,161.24,161.29,355158,AAPL,2023-04-11 13:05:00
280195,161.2906,161.39,161.2601,161.2899,237126,AAPL,2023-04-11 13:10:00
280196,161.28,161.29,161.119,161.14,298097,AAPL,2023-04-11 13:15:00
280197,161.1408,161.2299,161.07,161.2199,299005,AAPL,2023-04-11 13:20:00
280198,161.2199,161.33,161.2,161.3,293789,AAPL,2023-04-11 13:25:00
280199,161.295,161.455,161.255,161.4117,293169,AAPL,2023-04-11 13:30:00
280200,161.4156,161.55,161.3601,161.365,295594,AAPL,2023-04-11 13:35:00
280201,161.3677,161.43,161.31,161.4,203806,AAPL,2023-04-11 13:40:00
280202,161.39,161.5,161.38,161.4602,288490,AAPL,2023-04-11 13:45:00
280203,161.475,161.63,161.46,161.5899,343595,AAPL,2023-04-11 13:50:00
280204,161.58,161.65,161.5554,161.62,336338,AAPL,2023-04-11 13:55:00
280205,161.63,161.81,161.57,161.78,457183,AAPL,2023-04-11 14:00:00
280206,161.785,161.83,161.58,161.62,440331,AAPL,2023-04-11 14:05:00
280207,161.625,161.73,161.58,161.68,376816,AAPL,2023-04-11 14:10:00
280208,161.68,161.68,161.55,161.5678,247530,AAPL,2023-04-11 14:15:00
280209,161.565,161.75,161.5,161.71,326569,AAPL,2023-04-11 14:20:00
280210,161.7001,161.77,161.63,161.6699,326720,AAPL,2023-04-11 14:25:00
280211,161.665,161.725,161.6279,161.7107,656424,AAPL,2023-04-11 14:30:00
280212,161.71,161.81,161.6601,161.705,338158,AAPL,2023-04-11 14:35:00
280213,161.71,161.72,161.62,161.6729,199226,AAPL,2023-04-11 14:40:00
280214,161.68,161.73,161.61,161.6101,252114,AAPL,2023-04-11 14:45:00
280215,161.6101,161.72,161.6101,161.68,221159,AAPL,2023-04-11 14:50:00
280216,161.68,161.68,161.4901,161.555,384993,AAPL,2023-04-11 14:55:00
280217,161.56,161.62,161.49,161.585,252152,AAPL,2023-04-11 15:00:00
280218,161.595,161.6199,161.43,161.5,285644,AAPL,2023-04-11 15:05:00
280219,161.51,161.51,161.385,161.4514,359620,AAPL,2023-04-11 15:10:00
280220,161.455,161.59,161.4501,161.505,327841,AAPL,2023-04-11 15:15:00
280221,161.505,161.5391,161.43,161.5108,306489,AAPL,2023-04-11 15:20:00
280222,161.5101,161.535,161.45,161.4523,388660,AAPL,2023-04-11 15:25:00
280223,161.46,161.465,161.2783,161.33,448792,AAPL,2023-04-11 15:30:00
